epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,34275.8,0.43937,0.58177,0.96,0.84359,0.72963,0.85344,0.75757,0.80512,1.32338,1.17973,0.00014496,0.00014496,0.00014496
43,35068.6,0.43605,0.57591,0.95608,0.87266,0.67523,0.83528,0.75155,0.76469,1.36934,1.15941,0.000142545,0.000142545,0.000142545
44,35860.1,0.44073,0.56367,0.95591,0.82365,0.74068,0.85663,0.75323,0.78276,1.53317,1.18571,0.000140129,0.000140129,0.000140129
45,36654,0.42345,0.5509,0.94314,0.72752,0.7739,0.84782,0.74255,0.76614,1.67334,1.19408,0.000137714,0.000137714,0.000137714
46,37445.9,0.43293,0.56,0.95086,0.81977,0.67883,0.82842,0.72079,0.78915,1.31308,1.17776,0.000135298,0.000135298,0.000135298
47,38240.8,0.42164,0.52481,0.9495,0.6154,0.80636,0.83137,0.73743,0.81177,1.45112,1.2059,0.000132882,0.000132882,0.000132882
48,39037.1,0.42801,0.52919,0.94565,0.84701,0.67529,0.83134,0.74492,0.76319,1.27562,1.14816,0.000130467,0.000130467,0.000130467
49,39842.9,0.4256,0.53282,0.94825,0.81923,0.67703,0.82423,0.74845,0.73425,1.3741,1.15706,0.000128051,0.000128051,0.000128051
50,40674.7,0.42663,0.52292,0.95191,0.87201,0.70405,0.83431,0.75881,0.72232,1.31057,1.13205,0.000125636,0.000125636,0.000125636
51,41572.7,0.40569,0.50524,0.93707,0.71881,0.78854,0.83261,0.75963,0.73859,1.21688,1.16947,0.00012322,0.00012322,0.00012322
52,42371.1,0.41974,0.50855,0.94376,0.85446,0.67574,0.84914,0.76958,0.74987,1.36024,1.15011,0.000120804,0.000120804,0.000120804
53,43169.6,0.41218,0.49324,0.94693,0.89747,0.6996,0.83183,0.75253,0.73363,1.21569,1.15928,0.000118389,0.000118389,0.000118389
54,43966.8,0.41169,0.49418,0.94191,0.86757,0.73245,0.84714,0.78188,0.72287,1.2253,1.14543,0.000115973,0.000115973,0.000115973
55,44760.3,0.40586,0.48846,0.93614,0.80933,0.78514,0.84746,0.76922,0.74683,1.21751,1.18464,0.000113558,0.000113558,0.000113558
56,45548.9,0.40234,0.47921,0.93524,0.91004,0.73108,0.84943,0.771,0.73845,1.35341,1.17978,0.000111142,0.000111142,0.000111142
57,46338.7,0.40922,0.49061,0.94245,0.92873,0.69716,0.84568,0.764,0.75786,1.07706,1.17114,0.000108726,0.000108726,0.000108726
58,47127.9,0.40271,0.4674,0.93644,0.80484,0.7527,0.84528,0.75922,0.77969,1.14902,1.19565,0.000106311,0.000106311,0.000106311
59,47915.5,0.39406,0.46105,0.92879,0.8548,0.7324,0.84792,0.75803,0.74693,1.16735,1.16457,0.000103895,0.000103895,0.000103895
60,48703.6,0.38845,0.45966,0.93014,0.72173,0.78557,0.84899,0.77785,0.71051,1.26983,1.15215,0.00010148,0.00010148,0.00010148
61,49493.8,0.38182,0.44744,0.92878,0.79157,0.76133,0.83309,0.75715,0.75694,1.24943,1.17782,9.9064e-05,9.9064e-05,9.9064e-05
62,50286.8,0.38994,0.45394,0.93335,0.84274,0.7492,0.84535,0.75802,0.79811,1.23182,1.20595,9.66484e-05,9.66484e-05,9.66484e-05
63,51082.4,0.38727,0.45726,0.93005,0.78892,0.78797,0.85109,0.76814,0.76527,1.38813,1.18112,9.42328e-05,9.42328e-05,9.42328e-05
64,51877,0.38913,0.44754,0.93102,0.74431,0.7896,0.85181,0.76047,0.75234,1.13205,1.16704,9.18172e-05,9.18172e-05,9.18172e-05
65,52671.3,0.38415,0.43872,0.92885,0.83398,0.75811,0.85046,0.77432,0.78732,1.24338,1.22069,8.94016e-05,8.94016e-05,8.94016e-05
66,53448.5,0.38012,0.44159,0.92637,0.86382,0.73108,0.85102,0.76726,0.76592,1.30955,1.17895,8.6986e-05,8.6986e-05,8.6986e-05
67,54233.6,0.37627,0.43302,0.92551,0.79552,0.71593,0.83232,0.74623,0.78191,1.24961,1.19545,8.45704e-05,8.45704e-05,8.45704e-05
68,55034.6,0.37856,0.43193,0.92901,0.7752,0.7899,0.84991,0.76011,0.77147,1.12074,1.19712,8.21548e-05,8.21548e-05,8.21548e-05
69,55838.8,0.37085,0.42678,0.92689,0.85795,0.75915,0.85196,0.76943,0.73728,1.1357,1.17563,7.97392e-05,7.97392e-05,7.97392e-05
70,56646,0.36435,0.41328,0.92425,0.841,0.78609,0.85351,0.77466,0.73426,1.11305,1.1599,7.73236e-05,7.73236e-05,7.73236e-05
71,57454.8,0.37048,0.41639,0.92147,0.86631,0.81396,0.85506,0.76777,0.77125,1.09961,1.19425,7.4908e-05,7.4908e-05,7.4908e-05
72,58266.1,0.36827,0.41086,0.91797,0.87505,0.81305,0.856,0.7699,0.76188,1.11056,1.17032,7.24924e-05,7.24924e-05,7.24924e-05
73,59081.3,0.36345,0.40754,0.9202,0.7296,0.82607,0.83744,0.74297,0.77217,1.11408,1.17483,7.00768e-05,7.00768e-05,7.00768e-05
74,59891.1,0.37665,0.41602,0.92957,0.89684,0.75805,0.84632,0.7509,0.76888,1.27119,1.16012,6.76612e-05,6.76612e-05,6.76612e-05
